title,year,duration,rating,country,poster,genres,tags,imdb_score,rt_score,synopsis,services
Sam Kinison: Family Entertainment Hour,1991,49.0,,,https://img.reelgood.com/content/movie/3d88ddbf-f8a9-4e58-aff9-970bade5c41e/poster-780.jpg,"Documentary, Comedy",,6.7,,"Get ready to scream with laughter! Sam Kinison's primal scream will echo down through the comedy hall of fame summing up so much of modernity's horror and stupidity. This concert was taped at the Wiltern Theatre where Sam was joined with the Randy Hansen Band and a salacious slew of sinuous sirens, including his wife Malika. Join Sam Kinison and guests for a concert guaranteed to make you laugh 'til you cry for more - there's something for every member of the family - Sam Kinison style!","{""reelgood"": ""sam-kinison-family-entertainment-hour-1991"", ""netflix"": ""70026468"", ""amazon"": ""B07MJM5CHQ""}"
Sam Kinison: Live in Vegas,1991,72.0,,,https://img.reelgood.com/content/movie/8a43c9ae-744e-4aca-bf75-6d34341ba313/poster-780.jpg,"Comedy, Stand-up & Talk",,6.8,,"Comedy / Music/Musical - In the town that knows no limits, Kinison gives a completely raw and uncensored performance at the very height of his career. Filled with scorching comedy, hot women and sizzling rock 'n roll, this rarely seen live show encapsulates the energy, verve and relentless brand of comedy that was unique to Kinison.","{""reelgood"": ""sam-kinison-live-in-vegas-1991"", ""netflix"": ""81045512"", ""amazon"": ""B003XRNCKM""}"
Sam Kinison: The Scream Continues,2016,29.0,,,https://img.reelgood.com/content/movie/d0fdde87-74c9-4b8c-b79b-d8920a532644/poster-780.jpg,Documentary,,6.1,,"Comedy Dynamics sat down with Sam Kinison's brother, Bill, to set the record straight on the stories surrounding this legendary comedian. Including his classic performances, rare TV appearances and photos, this documentary is not to be missed by any true Sam Kinison fan! Plus, you might be surprised who else you see with Sam. He was one popular guy!","{""reelgood"": ""sam-kinison-the-scream-continues-2016"", ""netflix"": ""81045513"", ""amazon"": ""B07N34695G""}"
Sam Kinison: Why Did We Laugh?,1998,90.0,18+ (R),,https://img.reelgood.com/content/movie/e1a9db5c-d063-4493-b406-75f9d4fbcf85/poster-780.jpg,"Documentary, Biography, Comedy",,6.9,,"For fans of comedy, Sam Kinison needs no introduction. His scathing comedy tackled tough topics no other comedian dared to touch. Fed up and disenfranchised with his career as a Pentacostal preacher, Sam left the ministry to try his hand at comedy. Almost immediately, and thanks in part to the foresight of Rodney Dangerfield who showcased Sam on an HBO special, his piercing scream, extreme humor and irreverent take on life attracted attention. Containing rare, early footage of Sam preaching and performing stand up at the world famous Comedy Store, the Award Winning ""Why Did We Laugh"" tells the story of a comedic genius who touched a deeper chord in people than most entertainers. Sadly, Sam was taken from us far too early, yet leaving us with a lasting and unique legacy.","{""reelgood"": ""sam-kinison-why-did-we-laugh-1998"", ""amazon"": ""B078TLFHTR""}"
Sammohanam,2018,137.0,,India,https://img.reelgood.com/content/movie/0a6a45fa-0524-45d9-bc9f-d9b28029fda8/poster-780.jpg,"Comedy, Romance, Drama",Cartoon,7.7,,"A cartoonist, who detests films and movie stars, finds himself in an awkward situation when he falls in love with a film actress","{""reelgood"": ""sammohanam-2018"", ""amazon"": ""B07P62FC7F""}"
Samouraïs,2002,90.0,18+ (R),,https://img.reelgood.com/content/movie/6c49d38d-5427-4f60-b573-b6dacac7e69a/poster-780.jpg,"Action & Adventure, Science-Fiction",,3.3,,An ageless Demon Warrior is magically impregnated into the womb of a Parisian Kung-Fu Master's girlfriend. But what is the Demon's relationship with a new-release blockbuster fighting game?,"{""reelgood"": ""samourais-2002"", ""amazon"": ""B07M8PPN7H""}"
Sample People,2000,93.0,,,https://img.reelgood.com/content/movie/1ed7e8fe-6b72-4b3f-8b28-d1bc2297b2ab/poster-780.jpg,"Comedy, Crime, Drama, Musical",,4.4,,"Sample People is an upbeat dramatic thriller that follows four groups of Sydney-siders as they seek escape routes over one sweltering weekend. 'Len the dreamer' who stutters shyly just wants the gorgeous DJ Lush Puppy. Sem is a funky musician who has a premonition warning him that his girlfriend, Cleo, is in danger. He just wants to get them both out of their inner-city world. Andy is the charismatic drifter who's conned his way through life and stolen money from his boss, TT. He just wants to head up the coast with TT's girlfriend, Jess, but seems to be falling deeper into a love triangle of drugs and delusion. Finally, there's Joey, a TV affected homeboy, who reveals to his best friend Gus that he's got a gun and will use it sooner or later. The inevitable moment will arrive whin his violent gangster fantisies become reality. As the lives of our heroes become dramatically entwined, the consequences of their actions ricochet off each other.","{""reelgood"": ""sample-people-2000"", ""amazon"": ""B00B99HCYS""}"
SampleThis,2013,85.0,,,https://img.reelgood.com/content/movie/dd120aa6-9440-4e68-8d47-c5910398cca3/poster-780.jpg,Documentary,"New York, Music",6.4,93%,"A documentary that reveals how a forgotten record by the Incredible Bongo Band helped cement the foundation of hip hop when DJ Herc extended its percussion by playing them back to back, creating an anthem on the streets of the Bronx.","{""reelgood"": ""samplethis-2013"", ""netflix"": ""70290909""}"
Samrat & Co.,2014,125.0,7+ (PG),,https://img.reelgood.com/content/movie/da9dfa23-fa56-4c71-958f-ceb3b70974f2/poster-780.jpg,"Mystery, Thriller, Action & Adventure, Crime, Romance",,6.3,,"A young, beautiful and rich girl, Dimpy Singh, approaches Samrat Tilakdhari, a private investigator, with a strange case. Their garden got ruined for reasons that appear natural but are not known; leading horticulturists have examined the fading plants but they have not been able to identify the probable reason. Further, her father's favorite horse died; once again the reason for the pre-mature death remains a mystery. That's not the end; Dimpy's father Mahendra Pratap Singh, otherwise a very strong and balanced man, has been experiencing deteriorating health. All these aspects when combined makes the case sound weird and that grabs the attention of Samrat. Samrat along with his assistant friend, Chakradhar Pandey, visits the huge estate of Mahendra Pratap Singh. As he starts investigating, he discovers lots of mysterious facts.","{""reelgood"": ""samrat-co-2014"", ""amazon"": ""B07MCFZC7Z""}"
Samsara,2011,102.0,13+ (PG-13),Brazil,https://img.reelgood.com/content/movie/35406da2-b1af-43fb-9683-72c07b4b5b6c/poster-780.jpg,"Documentary, Drama",Religion,8.5,76%,"Samsara is a word that describes the ever turning wheel of life. It is a concept both intimate and vast - the perfect subject for filmmakers Ron Fricke and Mark Magidson, whose previous collaborations include Chronos and Baraka, and who, in the last 20 years, have travelled to over 58 countries together in the pursuit of unique imagery.  Samsara takes the form of a nonverbal, guided meditation that will transform viewers in countries around the world as they are swept along a journey of the soul. Through powerful images pristinely photographed in 70mm and a dynamic music score, the film illuminates the links between humanity and the rest of the nature, showing how our life cycle mirrors the rhythm of the planet.","{""reelgood"": ""samsara-2011"", ""amazon"": ""B00AYQNOFI""}"
Samson,2018,110.0,13+ (PG-13),America,https://img.reelgood.com/content/movie/bfb4240f-23b1-4aef-8449-a045ec23ca21/poster-780.jpg,"Action & Adventure, Drama",Religion,4.4,25%,"After losing the love of his life to a cruel Philistine prince, a young Hebrew with Supernatural strength defends his people, sacrificing everything to avenge his love, his people, and his God.","{""reelgood"": ""samson-2018"", ""netflix"": ""80222301""}"
Samson and the Seven Miracles of the World,1961,80.0,,,https://img.reelgood.com/content/movie/d74f69f3-fab4-4551-bbc2-0aab7451d319/poster-780.jpg,"Action & Adventure, Drama, Fantasy",,4.9,,Sam must rescue a beautiful Chinese princess from a marauding horde of warriors.,"{""reelgood"": ""samson-and-the-seven-miracles-of-the-world-1961"", ""amazon"": ""B002V7319W""}"
Samudri Lootere,2018,,,,"data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMTEiIGhlaWdodD0iMTIuNCIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIj48cGF0aCBkPSJNMS43NjIuMjk4Qy44MDctLjI1Mi4wMzIuMjA4LjAzMiAxLjMwOHY5Ljc4YzAgMS4xMDguNzY4IDEuNTY0IDEuNzMgMS4wMWw4LjUzLTQuOTA0Yy45NTUtLjU1Ljk2Mi0xLjQzNyAwLTEuOTlMMS43NjEuMjk3eiIgc3Ryb2tlPSJudWxsIiBmaWxsPSIjMDgxMTE4IiBmaWxsLXJ1bGU9ImV2ZW5vZGQiLz48L3N2Zz4=",,,,,The king's ship has been taken over by seemingly fearless pirates! Can Bheem find the one thing that might scare them away?,"{""reelgood"": ""samudri-lootere-2018"", ""netflix"": ""81092780""}"
Samui Song,2017,108.0,18+ (R),,https://img.reelgood.com/content/movie/b52848f7-37d0-40a6-b6ae-5469730537e4/poster-780.jpg,"Drama, Thriller",,6.1,,"A soap opera actress finds herself increasingly pressured by her husband, a rich foreigner entirely devoted to a charismatic cult leader.","{""reelgood"": ""samui-song-2017"", ""amazon"": ""B07CJP1CW1""}"
San Andreas Quake,2015,90.0,13+ (PG-13),America,https://img.reelgood.com/content/movie/279a11e3-4b19-4bab-bade-17df1468a589/poster-780.jpg,"Action & Adventure, Science-Fiction, Drama, Thriller",Disaster,2,,"When a discredited L.A. Seismologist warns of an impending 12.7 earthquake, no one takes her seriously. Now on her own, she races desperately to get her family to safety before the earthquake breaks Los Angeles apart from the mainland.","{""reelgood"": ""san-andreas-quake-2015"", ""amazon"": ""B00XVQRWRE""}"
Sanctuary,2017,72.0,All (G),,https://img.reelgood.com/content/movie/cac01134-3688-4e43-88f4-19ce18ec59c7/poster-780.jpg,Documentary,Animal,6.4,100%,Donkeys inhabit and communicate with each other - and the filmmakers - in a Sanctuary.,"{""reelgood"": ""sanctuary-2017"", ""amazon"": ""B07XJ9P2RM""}"
