imdb_id,title,original_title,year,rating,companies,country,language,duration,directors,writers,actors,genres,synopsis,budget,gross_us,gross_worldwide,score,votes
tt6041030,Mad World,Yat nim mou ming,2016,,,Hong Kong,Cantonese,101.0,Chun Wong,Chor Hang Chan,"Shawn Yue, Eric Tsang, Elaine Jin",Drama,A mentally ill stockbroker struggles to reconcile with his estranged father and his perturbed ex-fiancée.,257000,,1322500,7.3,1199
tt0032741,Mad Youth,,1939,Approved,Willis Kent Productions,USA,English,76.0,Melville Shyer,,"Mary Ainslee, Betty Compson, Willy Castello",Drama,"A rich society mother hires a male escort, but he falls for her daughter instead. The mother-daughter conflict forces the daughter to run off to stay with a friend who is enslaved by a prostitution ring.",,,,5.2,184
tt1849810,Mafia,,2012,R,"Levine Pictures, Jamie Kennedy Entertainment",USA,English,78.0,Ryan Combs,Ryan Combs,"Ving Rhames, Pam Grier, Persia White","Action, Crime",New Year's Eve 1975: Two cop detectives are staking out Renzo. He's suspected of killing a cop among others. Will the 2 cops do the necessary to get their man?,,,,3.8,522
tt5361488,Magellan,,2017,,Arrowstorm Entertainment,USA,English,103.0,Rob York,"Scott Baird , Rob York","Brandon Ray Olive, K. Danor Gerald, Whitney Palmer","Mystery, Sci-Fi, Thriller","After NASA picks up a trio of mysterious signals from within our own solar system, astronaut Roger Nelson is dispatched on a multi-year solo mission aboard the Magellan spacecraft to investigate the sources.",,,,5.1,979
tt3852028,Maggie Black,,2017,,"Assemblage of Nouns Productions, BullMoose Pictures",USA,English,84.0,Stanley Brode,Jessalyn Maguire,"Jessalyn Maguire, Chris Beetem, John Fugelsang",Drama,"A successful, young writer's first pregnancy is overshadowed by her complicated relationship with reality.",,,,4.3,114
tt0899214,Magic Gift of the Snowman,,1995,Not Rated,"Goodtimes Entertainment, Jetlag Productions",USA,English,47.0,"Toshiyuki Hiruma, Takashi",Lawrence H. Hartstein,"Tony Ail, Nathan Aswell, Bailee Reid","Animation, Family",A magical snowman takes two children on the adventure of a lifetime! Everybody knows that Christmas is the time when miracles happen. And this exciting new tale is about a cool snowman who ,,,,6.3,129
tt3433160,Magicians: Life in the Impossible,,2016,Not Rated,"Film For Thought, Subjective Films",USA,English,87.0,"Christoph Baaden, Marcie Hume",,"Jon Armstrong, Brian Gillis, David Minkin",Documentary,"""MAGICIANS follows four world-class magicians on stage and off, exploring how and why these characters so passionately dedicate their lives to the craft of illusion. Their journey takes us ",,,,6.1,496
tt1862116,The Magick of Solomon,,1996,Not Rated,"Church of Hermetic Sciences, Hooded Man Productions",USA,English,82.0,"Gregory Jednack , Poke Runyon",Poke Runyon,,Documentary,"Anthropologist and Ceremonial Magician, Poke Runyon explains and demonstrates the authentic techniques of ancient Ritual Magick. Learn how to invoke Angels and evoke Spirits to visible ",,,,3.7,10
tt1915581,Magic Mike,,2012,R,"Iron Horse Entertainment (II), Extension 765",USA,English,110.0,Steven Soderbergh,Reid Carolin,"Channing Tatum, Alex Pettyfer, Olivia Munn","Comedy, Drama","A male stripper teaches a younger performer how to party, pick up women, and make easy money.",7000000,113721571,167221571,6.1,125743
tt6467152,Magic Money: The Bitcoin Revolution,,2017,,100th Monkey Films,Australia,English,55.0,Tim Delmastro,,"Jeff Berwick, Trace Mayer, Tone Vays",Documentary,"Magic Money is a documentary film which explores the mysterious origins of Bitcoin, its role in society, and how it could shape the future of our world.",,,,5.8,109
tt3194622,Magnetic,,2015,,Launch Over,USA,English,80.0,"Sophia Cacciola, Michael J. Epstein","Sophia Cacciola, Michael J. Epstein","Allix Mortis, Chris Bernardi, Rachel Leah Blumenthal","Adventure, Fantasy, Sci-Fi","On December 31st, the Earth will be destroyed. Everything you know will become nothing. Maybe it already has.",15000,,,6.3,1138
tt0094375,Dynamite Fighters,Zhong hua zhan shi,1987,R,D & B Films Co. Ltd.,Hong Kong,Cantonese,91.0,David Chung,Kan-Cheung Tsang,"Michelle Yeoh, Richard Ng, Tung-Shing Yee","Action, Drama",Action film about Chinese resistance after Japanese invasion in 1930's,,,,6.4,675
tt5034870,Magnum Opus,,2017,TV-MA,"Little Turtle Pictures, Tuck and Roll Productions",USA,English,82.0,Kevin Elliott,Scott Patrick Stoddard,"Louise Griffiths, Adam J. Harrington, Clark Johnson","Drama, Thriller","This spy thriller pits veteran-turned-artist, Daniel Cliff, against US intelligence, and secrets from his past lead to hellish journey of lies, betrayal, and government retribution.",,,,5.2,48
tt5471480,Magnus,,2016,,"Moskus Film, Main Island Production",Norway,Norwegian,78.0,Benjamin Ree,"Linn-Jeanethe Kyed, Benjamin Ree","Magnus Carlsen, Garry Kasparov, Viswanathan Anand",Documentary,"Magnus Carlsen, Norwegian chess prodigy, becomes a grandmaster at age 13 and world champion in 2013.",EUR1000000,8944,101739,7.1,1622
tt3415692,Mahabharat,,2013,,"Bubble Creations Digital Studios, Pen India",India,Hindi,105.0,Amaan Khan,"Amaan Khan , Amjad Sheikh","Amitabh Bachchan, Ajay Devgn, Vidya Balan","Animation, Action, Adventure",It narrates the struggle between two groups of cousins in the Kurukshetra War and the fates of the Kaurava and the Pandava princes and their succession.,400000,,,5.4,344
tt7465992,Mahanati,,2018,Not Rated,"Swapna Cinema, Vyjayanthi Movies",India,Telugu,177.0,Nag Ashwin,"Nag Ashwin , Sai Madhav Burra","Keerthi Suresh, Dulquer Salmaan, Samantha Ruth Prabhu","Biography, Drama","Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s.",3650000,,279078,8.5,7725
tt5164436,Mah e Mir,,2016,,Miraqsm Media,Pakistan,Urdu,146.0,Anjum Shahzad,Sarmad Sehbai,"Iman Ali, Inam Hasan, Syed Fazal Hussain","Biography, Drama, Romance","A modern poet Jamal who is against the traditional Urdu Poetry reads the biography of Mir Taqi Mir,one of the greatest poets of the 18th century. And sees Mir's reflection on his personality.",,,,7.3,564
tt4851630,Maheshinte Prathikaaram,,2016,,,India,Malayalam,,Dileesh Pothan,Syam Pushkaran,"Fahadh Faasil, Aparna Balamurali, Soubin Shahir","Comedy, Drama, Thriller","Mahesh, a studio photographer and studio owner gets into a fight and loses. He ends up taking revenge which leads to certain realizations in his life.",,,22361,8.3,5019
tt3321770,Mahjong and the West,,2014,,"BCDF Pictures, Aprés Visuals",USA,English,97.0,Joseph Muszynski,"Jannette Bloom, Alyssa Carpenter","Jannette Bloom, Alyssa Carpenter, Tom Guiry",Drama,"When a girl returns to Wyoming to bury her mother, she reunites with her childhood friend, a hard-living rodeo princess, who forces her to confront a shared trauma from their past.",,,,8.0,83
