imdb_id,title,original_title,year,rating,companies,country,language,duration,directors,writers,actors,genres,synopsis,budget,gross_us,gross_worldwide,score,votes
tt3697566,No Tears for the Dead,U-neun nam-ja,2014,Not Rated,"CJ E&M Film Financing & Investment Entertainment & Comics, CJ Entertainment",South Korea,Korean,116.0,Jeong-beom Lee,Jeong-beom Lee,"Dong-Gun Jang, Min-hee Kim, Brian Tee","Action, Thriller","A hit man traumatized from accidentally killing a young girl during a job is given the mission to eliminate her mother, and begins the ultimate fight to save her life.",,63063,89813,6.8,5192
tt2049511,No Tell Motel,,2013,Not Rated,"Enderby Entertainment, Tony-Seven Films",USA,English,84.0,Brett Donowho,T.J. Cimfel,"Chalie Howes, Johnny Hawkes, Andrew MacFarlane",Horror,Dirty little secrets are exposed when five friends become stranded at an abandoned motel haunted by a dark secret of its own.,3000000,,466535,3.5,1509
tt7476418,Notes from Dunblane: Lesson from a School Shooting,,2018,,,USA,English,22.0,Kim A. Snyder,,,"Documentary, Short, History","In the wake of the 2012 Sandy Hook Elementary School massacre that took the lives of 20 first graders and their teachers, local clergymen Father Bob Weiss receives a letter from a fellow ",,,,5.7,213
tt5117222,Notes on Blindness,,2016,,"Arte France, Creative England",UK,English,90.0,"Peter Middleton, James Spinney","Peter Middleton, James Spinney","John M. Hull, Marilyn Hull, Miranda Beinart-Smith","Documentary, Drama","In the summer of 1983, just days before the birth of his first son, writer and theologian John Hull went blind. In order to make sense of the upheaval in his life, he began keeping a diary ",,,104214,7.1,1752
tt0069024,Nothing But the Night,,1973,PG,Charlemagne Productions,UK,English,90.0,Peter Sasdy,"Brian Hayles , John Blackburn","Christopher Lee, Peter Cushing, Diana Dors","Crime, Horror, Mystery","Three trustees of the Van Traylen fund have died during the last few months in deaths looking like suicides. However, after a mysterious bus accident involving the last three trustees and ",,,,5.5,1125
tt5512756,Nothing Good Ever Happens,,2016,TV-MA,New Dynamic,USA,English,91.0,Henrique Couto,Henrique Couto,"Al Snow, Marylee Osborne, Iabou Windimere","Comedy, Drama","Our film is about Neil who is a painter and graphic designer, on a morning just like any other morning his girlfriend Amanda leaves him and moves out of their house (don't worry, it's a ",,,,5.5,70
tt0091653,Nothing in Common,,1986,PG,"Delphi Films, Rastar Productions",USA,English,118.0,Garry Marshall,"Rick Podell, Michael Preminger","Tom Hanks, Jackie Gleason, Eva Marie Saint","Comedy, Drama, Romance",A highly successful advertising executive decides to put his job on hold after getting an update from his father that he and his wife are divorced and decides to extend his break after revealing that his father is a diabetic.,,32324557,32324557,5.9,6055
tt4459424,Nothing Is Truer than Truth,,2018,,,Italy,English,75.0,Cheryl Eagan-Donovan,Cheryl Eagan-Donovan,"Derek Jacobi, Gregory Paul Martin, Tina Packer","Documentary, Biography, History","NOTHING IS TRUER THAN TRUTH is a feature length documentary about Edward de Vere, Seventeenth Earl of Oxford, A-list party boy on the continental circuit, who spent a year and a half in ",,,,7.3,30
tt7363336,Tea With the Dames,Nothing Like a Dame,2018,Unrated,"Field Day Films, Kew Media Group",UK,English,84.0,Roger Michell,,"Eileen Atkins, Judi Dench, Joan Plowright",Documentary,"Dames Judi Dench, Eileen Atkins, Joan Plowright, and Maggie Smith get together for tea to reminisce and discuss their acting careers.",,889343,3188434,7.3,1503
tt7297336,Nothing Really Happens,,2018,,,USA,English,101.0,Justin Petty,Justin Petty,"Bobby Dornbos, Adam Edwards, Kam Franklin","Comedy, Sci-Fi, Thriller","A mattress store owner experiences increasingly surreal anomalies in his life that put strain on his relationships with friends, family, and his own humanity.",,,,5.3,230
tt0029322,Nothing Sacred,,1937,Passed,Selznick International Pictures,USA,English,77.0,William A. Wellman,"Ben Hecht , James Street","Carole Lombard, Fredric March, Charles Winninger","Drama, Fantasy, Romance","An eccentric woman learns she is not dying of radium poisoning as earlier assumed, but when she meets a reporter looking for a story, she feigns sickness again for her own profit.",1831927,,3765,6.9,5570
tt7489816,Nothing to Hide,Le jeu,2018,TV-MA,"Medset Film, Mars Films",France,French,90.0,Fred Cavayé,"Fred Cavayé , Fred Cavayé","Bérénice Bejo, Suzanne Clément, Stéphane De Groodt","Comedy, Drama","3.5 couples meet for dinner party. The men have known each other for decades. After dinner they play a game of sharing texts, calls, e-mails etc. by placing all 7 cell phones on the table. Unexpected results as all have secrets.",,,13189388,6.8,9253
tt6910020,Nothing to Lose,Nada a Perder,2018,PG,"Paris Entretenimento, Rede Record",Brazil,Portuguese,134.0,Alexandre Avancini,"Stephen P. Lindsey , Emílio Boechat","Petrônio Gontijo, Day Mesquita, Beth Goulart","Biography, Drama","Self-financed fictional biopic of Brazilian bishop Edir Macedo, founder of the Universal Church of the Kingdom of God and owner of Record TV network.",BRL16000000,1016188,36075317,5.6,22735
tt1996342,Nothing Without You,,2012,Not Rated,ChainGangPictures,USA,English,92.0,Xackery Irving,"Xackery Irving , Xackery Irving","Emily Fradenburgh, Keith McGill, Joshua Loren","Action, Crime, Drama","A psych-patient, accused of a violent murder, turns to her court-appointed psychiatrist to prove her innocence and sanity. Her psychiatrist must help her decipher delusion from truth to ",,,,7.0,50
tt1337671,No Through Road,,2008,Not Rated,Nakatomi Pictures,Australia,English,85.0,Sam Barrett,"Sam Barrett, Robbie Studsor","James Helm, Megan Palinkas, George Shevtsov",Thriller,"The serenity of another quiet evening is shattered for an amateur photographer when a desperate woman takes refuge in his humble suburban home. Reluctantly, he is pulled into a cat and ",,,,3.9,192
tt0899070,No Time to Die,,2006,Not Rated,"Filumé Filmproduktion, Afromovies",Germany,,95.0,King Ampaw,"King Ampaw, Klaus Bädekerl","Fritz Baffour, Kofi Bucknor, Agnes Dapaa",Comedy,"Asante, a hearse driver in Ghana, wants a wife. His profession puts most women off. He falls in love with a client whose mother has died, and manages to win her over. But her father forbids",,,,7.6,19
