title,year,duration,rating,country,poster,genres,tags,imdb_score,rt_score,synopsis,services
Say You Will,2017,95.0,13+ (PG-13),America,https://img.reelgood.com/content/movie/2c0cb45c-b779-47ab-a5d5-77bf55f7f3e1/poster-780.jpg,Drama,High School,6.7,,A recent high school graduate cares for his mother and navigates his first relationship in the wake of his father's suicide.,"{""reelgood"": ""say-you-will-2018"", ""amazon"": ""B07G5JYXVR"", ""hulu"": ""say-you-will-c4a15001-e640-473c-a732-9e6c2694bd93""}"
Scaffolding,2018,88.0,,,https://img.reelgood.com/content/movie/25d095a0-b5ba-4366-80b3-3b1dab70b070/poster-780.jpg,Drama,,6.8,82%,"17-year-old Asher is split between his charismatic teacher and his brash father, who wants him to take over his scaffolding business.","{""reelgood"": ""scaffolding-2018"", ""amazon"": ""B07HC4V1L4""}"
Scalpel,1977,95.0,18+ (R),America,https://img.reelgood.com/content/movie/c1f22066-3c56-4f6e-a851-1889c8f3fbea/poster-780.jpg,"Drama, Thriller, Mystery","Doctor, Medical",6.3,,A psychopathic plastic surgeon transforms a young accident victim into the spitting image of his missing daughter.,"{""reelgood"": ""scalpel-1977"", ""amazon"": ""B07KCTNVCV""}"
Scandal Makers,2008,108.0,,,https://img.reelgood.com/content/movie/91e9ec0b-399b-453b-8eb5-30a3b4296553/poster-780.jpg,"Comedy, Drama",,7.2,,"Former teen idol Nam Hyeon-soo is now in his thirties and working as a radio DJ. One day a young woman named Jeong-nam shows up and claims to be his own daughter. She also has a son whom she claims to be Hyeon-soo's grandson. Their relation is proven via DNA tests by Hyeon-soo's brother. This leads to Hyeon-soo attempting to avoid a scandal concerning him having children ""unknown"" to the media.","{""reelgood"": ""speed-scandal-2008"", ""amazon"": ""B00I6LKBEK""}"
Scare Campaign,2016,76.0,,,https://img.reelgood.com/content/movie/5fb33390-44af-48b6-959b-3df0af02ef23/poster-780.jpg,Horror,,5.8,,"Popular prank TV show, Scare Campaign, has been entertaining audiences for the last 5 years with its mix of old school scares and hidden camera fun. But as we enter a new age of online TV the producers find themselves up against a new hard edged web series which makes their show look decidedly quaint. It's time to up the ante, but will the team go too far this time, and are they about to prank the wrong guy?","{""reelgood"": ""scare-campaign-2016"", ""amazon"": ""B01M71F51E""}"
Scarecrows,1988,83.0,18+ (R),America,https://img.reelgood.com/content/movie/e5619cea-3688-4a0d-8068-e312732652f3/poster-780.jpg,"Horror, Thriller, Action & Adventure, Crime",Supernatural,5.4,44%,"Five men heist the Camp Pendleton payroll and kidnap a pilot and his daughter, who are forced to fly them to Mexico. Enroute a double cross has one of the thieves parachute with the loot into an abandoned graveyard surrounded by strange scarecrows. The rest of the team jump after their loot and their former partner. Everything happens during the course of one very dark night.","{""reelgood"": ""scarecrows-1988"", ""amazon"": ""B07HVHXRT8""}"
Scared to Death,1947,65.0,,,https://img.reelgood.com/content/movie/f31960b9-7c98-465c-9d50-5d18bfb21508/poster-780.jpg,"Thriller, Horror, Mystery, Comedy",,4,63%,"A woman is married to the son of a doctor, the proprietor of a private sanatorium, where she is under unwilling treatment. Both the son and the doctor indicate they want the marriage dissolved. Arriving at the scene is a mysterious personage identified as the doctor's brother who formerly was a stage magician in Europe. He is accompanied by a threatening dwarf...","{""reelgood"": ""scared-to-death-1947"", ""amazon"": ""B002WOF01Q""}"
Scarlet Street,1945,103.0,,America,https://img.reelgood.com/content/movie/ba381893-51db-423b-9291-85fdf3f03506/poster-780.jpg,"Drama, Thriller",New York,7.8,100%,"Cashier and part-time starving artist Christopher Cross is absolutely smitten with the beautiful Kitty March. Kitty plays along, but she's really only interested in Johnny, a two-bit crook. When Kitty and Dan find out that art dealers are interested in Chris' work, they con him into letting Kitty take credit for the paintings. Cross allows it because he is in love with Kitty, but his love will only let her get away with so much.","{""reelgood"": ""scarlet-street-1945"", ""amazon"": ""B007H515Y6""}"
Scarlet's Witch,2014,84.0,,America,https://img.reelgood.com/content/movie/2feba27d-dc5b-4806-a1ba-548d222c32bc/poster-780.jpg,"Drama, Fantasy, Mystery",Supernatural,4.4,,A lonely girl befriend a witch in the woods who has alter motives in this adult fairy tale.,"{""reelgood"": ""scarlets-witch-2014"", ""amazon"": ""B07HMHY5SJ""}"
Scarlett,2016,92.0,,,https://img.reelgood.com/content/movie/a83d94f6-6828-4548-80ec-b5f758973905/poster-780.jpg,Drama,Religion,4.5,,"The love story of Chase and Scarlett is abruptly ended when Scarlett is diagnosed with cancer. Mia, next door, is pregnant and in an abusive marriage. The lives of Scarlett, Chase and Mia become intertwined with a surprise twist at the end.","{""reelgood"": ""scarlett-2016"", ""amazon"": ""B078JWMKHJ""}"
