title,year,duration,rating,country,poster,genres,tags,imdb_score,rt_score,synopsis,services
Scarred City,1999,100.0,18+ (R),America,https://img.reelgood.com/content/movie/6132ac2c-185b-47b8-824e-a78a97a6fcca/poster-780.jpg,"Action & Adventure, Thriller, Mystery",Police,5.1,,A young cop gets thrown in with a special police squad who are acting as assassins against hoods and who don't care who gets in the way.,"{""reelgood"": ""scarred-city-1999"", ""amazon"": ""B07FCTMYPM""}"
Scary Movie,2000,88.0,18+ (R),America,https://img.reelgood.com/content/movie/ba2c4f09-3478-4069-b3f3-cb8f1abaee11/poster-780.jpg,Comedy,"Drug, Psychology, Mature",6.2,53%,"Following on the heels of popular teen-scream horror movies, with uproarious comedy and biting satire. Marlon and Shawn Wayans, Shannon Elizabeth and Carmen Electra pitch in to skewer some of Hollywood's biggest blockbusters, including Scream, I Know What You Did Last Summer, The Matrix, American Pie and The Blair Witch Project.","{""reelgood"": ""scary-movie-2000"", ""amazon"": ""B00AYB0YFQ""}"
Scary or Die,2012,94.0,18+ (R),America,https://img.reelgood.com/content/movie/f6c219cd-fde9-454b-bbf4-09eff7a43b6d/poster-780.jpg,Horror,"Vampire, Supernatural, Zombie",3.9,,"The creation of filmmaker Michael Emanuel, SCARY OR DIE tells five interwoven horror stories that take place in and around the “City of Angles”. A flesh-eating clown desperately trying to protect the person he craves the most; a dirty cop and a hit gone wrong with a vengeful Necromancer; a beautiful but mysterious woman and a lonely man looking for love in all the wrong places; a gruesome, blood-splattered uprising of illegal Mexican zombies; and a Cajun conjurer grandfather whose gift of never-ending love goes terribly awry…SCARY OR DIE is a unique experience in horror filmmaking certain to fulfill all your twisted horror film experience needs.","{""reelgood"": ""scary-or-die-2012"", ""amazon"": ""B009GEOVGK""}"
Scary Story Slumber Party,2017,76.0,18+ (R),America,https://img.reelgood.com/content/movie/dea8733a-cc5a-40d6-9c45-a1300834efb8/poster-780.jpg,"Horror, Thriller, Mystery",Suspense,2.8,,3 friends gather together to throw an old fashion Slumber Party like they did in the old days. They begin to tell each other scary stories to liven up the fun. But the fun is leading to something a bit more sinister.,"{""reelgood"": ""scary-story-slumber-party-2012"", ""amazon"": ""B078PLPLH6""}"
Scathing,2016,83.0,18+ (R),,https://img.reelgood.com/content/movie/302f911b-cc22-4ade-8b26-3b2825843e98/poster-780.jpg,"Horror, Thriller, Mystery",,3.5,,"A young couple are stranded in a remote location for several days without food or water, while a massive, giant, madman stalks their every move, proving it impossible for them to escape unscathed.","{""reelgood"": ""scathing-2016"", ""amazon"": ""B07R1139GK""}"
Scattered Dreams,1993,93.0,7+ (PG),,https://img.reelgood.com/content/movie/83451d15-5bcf-48b3-ba1a-bef599b8625c/poster-780.jpg,Drama,,5.5,,"Based on the true story of Katheryn Messenger (Tyne Daly) and her husband George (Gerald McRaney) who were wrongly convicted and sent to prison, leaving their daughter Phyllis (Alicia Silverstone) to care for their younger children.","{""reelgood"": ""scattered-dreams-1993"", ""amazon"": ""B078XKW9P4""}"
Scatter My Ashes at Bergdorf's,2013,93.0,13+ (PG-13),,https://img.reelgood.com/content/movie/35535329-1728-4e67-ab99-244b0114b75d/poster-780.jpg,Documentary,,6.2,50%,It's the most mythic of all American emporiums - and the scene of many an ultimate fashion fantasy. Now audiences get a rarified chance to peek behind the backroom doors and into the reality of the fascinating inner workings and fabulous untold stories from Bergdorf Goodman's iconic history in Scatter My Ashes at Bergdorf's.,"{""reelgood"": ""scatter-my-ashes-at-bergdorfs-2013"", ""amazon"": ""B0795RR8YC""}"
Scavengers,2013,94.0,,,https://img.reelgood.com/content/movie/389d40c9-9d8b-44c9-a632-1a2f7787d10e/poster-780.jpg,"Science-Fiction, Action & Adventure, Thriller",,2.9,,"A team of space scavengers discovers superior alien technology that threatens the balance of the known universe. Hotly pursued by a rival crew of intergalactic mercenaries, the Revelator crew must fight through the deepest reaches of space to locate and protect the life-altering device.","{""reelgood"": ""scavengers-2013"", ""amazon"": ""B07Z44R14M""}"
Scenes from a Gay Marriage,2012,83.0,,,https://img.reelgood.com/content/movie/9d218700-fbe3-462a-b353-a022a4d2cc7f/poster-780.jpg,"Comedy, Drama, Romance",,5.3,,A recently single man finds solace in his upstairs neighbors' seemingly perfect relationship - until he suspects one of them is cheating.,"{""reelgood"": ""scenes-from-a-gay-marriage-2012"", ""amazon"": ""B00TDP83ZM""}"
Scenic Route,2013,85.0,18+ (R),America,https://img.reelgood.com/content/movie/a4225b20-1415-4958-b79f-5202ce962370/poster-780.jpg,"Drama, Thriller, Mystery","Friendship, Fighting, Feel-good",6.5,67%,"Stranded on an isolated desert road, two life-long friends fight for survival as their already strained relationship spirals into knife-wielding madness.","{""reelgood"": ""scenic-route-2013"", ""hulu"": ""scenic-route-f02e7dce-3afa-4db9-9a7d-be6c640ac64f""}"
Scents and Sensibility,2011,85.0,7+ (PG),,https://img.reelgood.com/content/movie/acd022cb-0589-40ed-8119-2ed82312fa5a/poster-780.jpg,"Drama, Romance, Comedy",,5.3,,A twist on the classic Jane Austen novel.,"{""reelgood"": ""scents-and-sensibility-2011"", ""amazon"": ""B00N99UU0O""}"
Schindler's List,1993,195.0,18+ (R),America,https://img.reelgood.com/content/movie/4ec83f0e-eede-4453-8f87-461525e21f6e/poster-780.jpg,"Biography, Drama, History","Based on Books, War, Disaster, World War II, Religion, Adaptation, Based On True Story, Political",8.9,97%,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,"{""reelgood"": ""schindlers-list-1993"", ""netflix"": ""60036359""}"
School Life,2019,100.0,13+ (PG-13),,https://img.reelgood.com/content/movie/e116b9be-7005-41aa-8e25-377f6f882621/poster-780.jpg,Documentary,,7.2,93%,"John and Amanda teach Latin, English and guitar at a fantastical stately home-turned-school. Nearly 50-year careers are drawing to a close for the pair who have become legends with the mantra: “Reading! ’Rithmetic! Rock ’n’ roll!” But for pupil and teacher alike, leaving is the hardest lesson.","{""reelgood"": ""school-life-2016"", ""hulu"": ""school-life-95fb9599-d651-48a2-a7a4-6f7c137e8d83""}"
School's Out,1930,20.0,,,https://img.reelgood.com/content/movie/f005aef7-0511-42bd-9344-4a1f6af1ca7f/poster-780.jpg,"Comedy, Family",Gang,7.3,,"The kids mistake Miss Crabtree's brother for a potential boyfriend, and plot to discourage him.","{""reelgood"": ""schools-out-1930"", ""amazon"": ""B002V77EN6""}"
School Spirit,1985,90.0,18+ (R),America,https://img.reelgood.com/content/movie/de6b8e76-328a-4a7f-82b3-2b04e25c4da9/poster-780.jpg,"Comedy, Fantasy","Ghost, Mature",4.4,,"The only thing keeping Billy Batson from the girl of his dreams is one little condom—or rather the lack of one. Lucky Billy finds one at an all-night roadhouse—but speeding back to his girl, he is killed in a head-on collision. Now invisible, Billy must find his sweetheart and rekindle her fire.","{""reelgood"": ""school-spirit-1985"", ""amazon"": ""B07CYLBPWV""}"
School Ties,1992,106.0,13+ (PG-13),America,https://img.reelgood.com/content/movie/2a30f780-7784-4bd5-b82d-7d4483ef4c1d/poster-780.jpg,Drama,"Sports, Feel-good",6.9,60%,"When David Greene receives a football scholarship to a prestigious prep school in the 1950s, he feels pressure to hide the fact that he is Jewish from his classmates and teachers, fearing that they may be anti-Semitic. He quickly becomes the big man on campus thanks to his football skills, but when his Jewish background is discovered, his worst fears are realized and his friends turn on him with violent threats and public ridicule.","{""reelgood"": ""school-ties-1992"", ""amazon"": ""B00AAM1DQS"", ""hulu"": ""school-ties-d1193cb7-d552-43d0-8cac-ef00dd938d3b""}"
Schubert in Love,2016,94.0,,Germany,https://img.reelgood.com/content/movie/9d03f039-2148-4358-8dce-f0a934eb34a0/poster-780.jpg,Comedy,Medical,5,,Olaf tries to make his dreams reality and thereby always gets into trouble with his surroundings. He meets his biggest obstacle yet when his father pressures him into having a child. Finding a woman becomes difficult when Olaf realizes that they have something he doesn't have: feelings.,"{""reelgood"": ""schubert-in-love-2016"", ""netflix"": ""80158247""}"
Schweigeminute,2016,85.0,,,https://img.reelgood.com/content/movie/6c56f304-20ac-476d-a90b-1847aa0c32c2/poster-780.jpg,"Drama, History, Romance",,7.2,,"The end of a summer, a sleepy fishing port on the Baltic Sea and the beginning of a great feeling that must not be: Shortly before the start of the new school year, the 18-year-old Christian falls in love with his new English teacher Stella Petersen. In a moment of unexpected lightness and freedom, in the dunes and seascape far away from the small town, Stella and Christian discover a shared longing and an attraction to each other, the intensity of which both overwhelmed. But soon after class has begun again, the secret relationship between the young teacher and her pupil threatens the scandal ...","{""reelgood"": ""schweigeminute-2016"", ""amazon"": ""B07DNTKTLS""}"
Science Of The Soul,2011,,,,https://img.reelgood.com/content/movie/5420e7d9-0a38-4054-9734-79950ef361f2/poster-780.jpg,,,,,"Do human beings have souls? From the beginning of human awareness, no matter the context and no matter the age, the answer was always yes. All cultures have universally argued that human beings are ensouled. About a hundred years ago, however, scientists decided that the soul is not a proper subject of scientific investigation-consciousness replaced soul. Then, the brain replaced consciousness. Lately, this perspective has led some scientists to argue that within 20-30 years AI, robotics and biological brains will converge to create a cyborg/Matrix like reality where there is, essentially, no difference between humans and machines.","{""reelgood"": ""science-of-the-soul-2011"", ""amazon"": ""B01N32B868""}"
Scientology: The Ex-Files,2010,45.0,7+ (PG),,https://img.reelgood.com/content/movie/0bdb204d-38b3-450d-b5be-25b4ae3da916/poster-780.jpg,,,,,"In this powerful documentary on the church of Scientology, a band of former elite members emerge from the secretive religion to allege extreme cruelty, slave labour and financial greed.","{""reelgood"": ""scientology-the-exfiles-2010"", ""amazon"": ""B007943ZWA""}"
Scorched,2003,95.0,13+ (PG-13),,https://img.reelgood.com/content/movie/a1cc8ec0-d10b-4a1b-a759-644827249c23/poster-780.jpg,"Comedy, Independent, Crime",,6,17%,"Three bank tellers. One goal: knock the place over. The ultimate inside jobs, plotted by three people with nothing to lose.","{""reelgood"": ""scorched-2003"", ""amazon"": ""B07M5MQ448""}"
Scorched Earth,2018,93.0,18+ (R),Canada,https://img.reelgood.com/content/movie/66978561-b201-46d0-b477-b255d58e85ee/poster-780.jpg,"Action & Adventure, Science-Fiction","Apocalypse, Futuristic",4.7,20%,A bounty hunter named Atticus Gage tracks down criminals in a post-apocalyptic Earth.,"{""reelgood"": ""scorched-earth-2018"", ""amazon"": ""B078PQ4F38""}"
Score: A Film Music Documentary,2017,94.0,7+ (PG),America,https://img.reelgood.com/content/movie/1dccbd08-6733-45be-8a5d-aad0a7ce3cb0/poster-780.jpg,"Documentary, Musical",Music,7.5,94%,"Music is an integral part of most films, adding emotion and nuance while often remaining invisible to audiences. Matt Schrader shines a spotlight on the overlooked craft of film composing, gathering many of the art form’s most influential practitioners, from Hans Zimmer and Danny Elfman to Quincy Jones and Randy Newman, to uncover their creative process. Tracing key developments in the evolution of music in film, and exploring some of cinema’s most iconic soundtracks, 'Score' is an aural valentine for film lovers.","{""reelgood"": ""score-a-film-music-documentary-2017"", ""amazon"": ""B07417TKTJ""}"
Scorned,2013,86.0,18+ (R),America,https://img.reelgood.com/content/movie/75795729-2b25-42e2-8ed4-d2173ecec0a2/poster-780.jpg,"Thriller, Comedy, Crime, Horror, Romance, Mystery",Revenge,4.7,,"Sadie and Kevin have decided to spend a romantic weekend together at his lake house.  But when an unexpected- and unfortunate- text from her best friend Jennifer to Kevin reveals a lurid love affair between the two, Sadie spirals a into a hunger for revenge.","{""reelgood"": ""scorned-2013"", ""amazon"": ""B07R8JXJC4""}"
Scorpius Gigantus,2006,91.0,18+ (R),America,https://img.reelgood.com/content/movie/c92c1e1d-0a6d-4574-9264-afc6f8f0d080/poster-780.jpg,"Action & Adventure, Horror, Science-Fiction","Military, War, Science, Wrestling, Mature, Sports",2.1,,"Geneticist seeks to make a name for herself by saving the planet from disease by using eons-old antibodies, harvested from enlarged six legged creatures. The creatures don't like being big and escape. Send for help.","{""reelgood"": ""scorpius-gigantus-2006"", ""amazon"": ""B07K71WG5H""}"
Scotch: A Golden Dream,2019,87.0,,,https://img.reelgood.com/content/movie/c033e77a-5eef-4ce6-80f3-3f6287398191/poster-780.jpg,Documentary,,7.7,75%,"An impressive bottle of fine Scotch is in your hand. From barley to barrel, who made it and how did they do it?","{""reelgood"": ""scotch-a-golden-dream-2019"", ""amazon"": ""B07WK5V3N7"", ""hulu"": ""scotch-a-golden-dream-2039c8c0-b06c-40b6-b9a8-83ba79627c99""}"
Scott Pilgrim vs. the World,2010,112.0,13+ (PG-13),Canada,https://img.reelgood.com/content/movie/eaf8e072-e817-4dde-a0a6-38763e6b3b7f/poster-780.jpg,"Action & Adventure, Comedy, Fantasy, Romance",Fighting,7.5,81%,"Scott Pilgrim is a 23 year old radical Canadian gamer and wannabe rockstar who falls in love with an American delivery girl, Ramona Flowers, and must defeat her seven evil exes to be able to date her.","{""reelgood"": ""scott-pilgrim-vs-the-world-2010"", ""netflix"": ""70117312""}"
Scott's Pizza Tours,2015,69.0,,,https://img.reelgood.com/content/movie/d108b07d-d0a1-4c51-96ab-ff5d526f7bfb/poster-780.jpg,"Documentary, Comedy",,7.3,,Experience the story of the world's most beloved food through the eyes of the man who loves it most.,"{""reelgood"": ""scotts-pizza-tours-2015"", ""amazon"": ""B07R6YF9ZM""}"
Scott Walker: 30 Century Man,2007,95.0,All (G),United Kingdom,https://img.reelgood.com/content/movie/8300c4b0-fcef-407a-9ddf-23cf1aee5521/poster-780.jpg,"Documentary, Biography, Musical",Music,7.2,87%,A documentary on the influential musician Scott Walker.,"{""reelgood"": ""scott-walker-30-century-man-2006"", ""amazon"": ""B00O43M016""}"
Scrap,2011,,,,https://img.reelgood.com/content/movie/31b9ec79-819c-4c98-acbb-17f940c196af/poster-780.jpg,,,,,"Scrap follows the history of two eccentric builders and their amazing structures, both built by a single man; The Forevertron built by Tom Every and Bishop Castle built by Jim Bishop. These architects are as awe inspiring as their creations.","{""reelgood"": ""scrap-2011"", ""amazon"": ""B07FNF56WH""}"
Scrapper,2013,85.0,,,https://img.reelgood.com/content/movie/f77e551d-6ae5-4727-8f24-5376dd83cf06/poster-780.jpg,Drama,,6.4,,"Did you know that scrap metal is America's 4th largest export? Well, Hollis Wallace does, and he makes his quiet living trolling the back alleys of Seattle looking for cast-off copper, aluminum and other valuable metals. Hollis uses all the tricks of the metal scrapping trade to earn his living and navigate through a fascinating and rowdy world that few pay any attention to.","{""reelgood"": ""scrapper-2013"", ""amazon"": ""B00JQ30NF4""}"
Scream 2,1997,120.0,18+ (R),America,https://img.reelgood.com/content/movie/287b7ed8-70ee-4e57-a8ee-146053564b00/poster-780.jpg,"Comedy, Horror, Mystery, Thriller","College, Serial Killer",6.2,82%,"Two years after the terrifying events that occurred in Woodsboro, Sidney is now attending Windsor College in Cincinnati, and Gale Weathers' best selling book on Sidney's life has now been made into a major motion picture. When two college students are killed in a theatre while watching the new film 'Stab', Sidney knows deep down that history is repeating itself.","{""reelgood"": ""scream-2-1997"", ""netflix"": ""1181550""}"
Scream 3,2000,116.0,18+ (R),America,https://img.reelgood.com/content/movie/519047ce-e977-44d9-80e8-b45c526f0376/poster-780.jpg,"Comedy, Horror, Mystery, Thriller",Serial Killer,5.5,39%,"A murdering spree begins to happen again, this time its targeted toward the original Woodsboro survivors and those associated with the movie inside a movie, 'Stab 3'. Sydney must face the demons of her past to stop the killer.","{""reelgood"": ""scream-3-2000"", ""netflix"": ""60000415""}"
Scream and Scream Again,1970,95.0,7+ (PG),United Kingdom,https://img.reelgood.com/content/movie/5cc43407-1604-4a7d-80b8-ffae780aa99b/poster-780.jpg,"Horror, Science-Fiction, Crime, Drama, Mystery, Thriller",Science,5.6,58%,"A serial killer, who drains his victims for blood is on the loose in London, the Police follow him to a house owned by an eccentric scientist.","{""reelgood"": ""scream-and-scream-again-1970"", ""amazon"": ""B07HXLG543""}"
Scream at the Devil,2015,98.0,18+ (R),,https://img.reelgood.com/content/movie/252b6590-6143-41e4-8a2e-6b28d62c316e/poster-780.jpg,"Mystery, Thriller",,2.5,,A beautiful schizophrenic woman is pushed over the edge by her husbands elicit affairs and when her hallucinations become reality the Devil comes to take his due. Is Miriam insane or has the Devil come to collect on her promise?,"{""reelgood"": ""scream-at-the-devil-2015"", ""amazon"": ""B01ELQAOIQ""}"
Scream Bloody Murder,1973,90.0,18+ (R),America,https://img.reelgood.com/content/movie/2fb5f190-545f-4704-a9af-6c94bd9afa77/poster-780.jpg,Horror,"Prison, Suspense, Doctor, Medical",4.8,,"A disturbed boy kills his father with his farm tractor and his arm is mangled in the process. He's taken to a mental hospital where he's outfitted with a hook to replace his lost hand and, years later, he's eventually released from the asylum. He returns home to find his mother has remarried, which sets him off on a murderous rampage.","{""reelgood"": ""scream-bloody-murder-1973"", ""amazon"": ""B002XW064S""}"
Screaming Queens: The Riot at Compton's Cafeteria,2005,57.0,,America,https://img.reelgood.com/content/movie/a4797c2c-d2c0-4e0d-a573-9fbdf5c0f951/poster-780.jpg,"Documentary, LGBTQ",Female Director,7.6,,"The first major uprising against police brutality, harassment, and societal oppression was not at Stonewall in 1969, but at Compton's Cafeteria in San Francisco three years earlier. Those who stood up were trans women and gay men. Now, nearly 40 years on, Susan Stryker and Victor Silverman tell the story of this oft-overlooked event in the history of American civil rights.","{""reelgood"": ""screaming-queens-the-riot-at-comptons-cafeteria-2005"", ""amazon"": ""B07FK3JP6P""}"
Scream of the Wolf,1974,78.0,,,https://img.reelgood.com/content/movie/ba48d5ae-a98d-4173-99dc-29d8a5e75d75/poster-780.jpg,"Horror, Thriller",,5.5,,"A big-game hunter comes out of retirement to help track down a killer wolf, and begins to suspect that it isn't a wolf but an animal that can take human form.","{""reelgood"": ""scream-of-the-wolf-1974"", ""amazon"": ""B07HMGV4BM""}"
Scream Park,2012,85.0,18+ (R),,https://img.reelgood.com/content/movie/a9ef786c-31a3-4dcd-90cc-b1927598ca63/poster-780.jpg,Horror,,4.1,,A failed amusement park owner devises a plan to commit gruesome murders in the park as a publicity stunt to sell tickets.,"{""reelgood"": ""scream-park-2012"", ""amazon"": ""B07MLTDN4Y""}"
Screamplay,1985,90.0,,,https://img.reelgood.com/content/movie/11156ea8-41c4-4b7a-a25a-3b224f3a5d0d/poster-780.jpg,"Comedy, Horror, Crime, Mystery",,6.3,,A detective investigating a series of murders discovers that they are similar to the murders that occur in the new script of a Hollywood screenwriter.,"{""reelgood"": ""screamplay-1985"", ""amazon"": ""B013SLNPC2""}"
Screwball,2019,105.0,,America,https://img.reelgood.com/content/movie/be3aed60-d0cb-4fbd-a7e5-4293a566faf8/poster-780.jpg,Documentary,"Baseball, Sports",7.2,94%,Investigates the MLB's infamous doping scandal involving a nefarious clinician and his most famous client: the New York Yankees' Alex Rodriguez.,"{""reelgood"": ""screwball-2018"", ""netflix"": ""81047680""}"
Screwballs,1983,80.0,18+ (R),Canada,https://img.reelgood.com/content/movie/0b658ea9-5c56-4fcd-aed1-4925bb349141/poster-780.jpg,Comedy,"High School, Mature, Teen",4.7,,"Welcome to T & A High, where the entire student body including campus virgin Purity Busch, chronic masturbator Melvin Jerkovski, repressed Principal Stuckoff and blonde bombshell Bootsie Goodhead all must rise to the challenges of freshman breast exams, bikini cheerleader attacks, inappropriate uses of bowling ball holes and much more.","{""reelgood"": ""screwballs-1983"", ""amazon"": ""B07F95D65J""}"
Screwball: The Ted Whitfield Story,2010,90.0,18+ (R),,https://img.reelgood.com/content/movie/1560269e-f492-425b-9760-f853d5f72ffa/poster-780.jpg,"Comedy, Sport",,4.7,,Story takes place during the MLB strike of 1994 when the nation turned its eyes to the sport of wiffleball. We follow the the pursuit of Ted Whitfield as he tries to break the homerun and his subsequent battles with substance abuse.,"{""reelgood"": ""screwball-the-ted-whitfield-story-2010"", ""amazon"": ""B01E4NPLKM""}"
Screwed,2011,110.0,,,https://img.reelgood.com/content/movie/1cd0a75b-b75f-4c3f-9912-7768c5463d07/poster-780.jpg,"Crime, Drama, Action & Adventure",,5.6,36%,"The film is a semi-biographical story based on the experiences of former prison guard Ronnie Thompson who spent seven years working in some of the UK's most dangerous prisons. Based on Thompson's book of the same name, the project stars James D'Arcy (Master & Commander), Noel Clarke (Kidulthood), Frank Harper (The Football Factory), Jamie Foreman (Layer Cake), Andrew Shim (This Is England) and Kate Magowan (Stardust). The story revolves around former soldier Sam Norwood who takes a job as a prison officer when he returns from Iraq and becomes exposed to the underworld of prison culture - including corrupt guards and drug trafficking.","{""reelgood"": ""screwed-2011"", ""amazon"": ""B081L1MWPB""}"
Scrooge,1935,78.0,,United Kingdom,https://img.reelgood.com/content/movie/e4f423f7-0641-44d4-9283-e12684553d2f/poster-780.jpg,"Drama, Family, Fantasy, Comedy","Time Travel, Ghost, Holiday, Christmas, Religion",6.6,,"Ebenezer Scrooge, the ultimate Victorian miser, hasn't a good word for Christmas, though his impoverished clerk Cratchit and nephew Fred are full of holiday spirit. In the night, Scrooge is visited by spirits of the past, present, and future.","{""reelgood"": ""scrooge-1935"", ""amazon"": ""B003E4AXQA""}"
SDU: Sex Duties Unit,2013,94.0,,,https://img.reelgood.com/content/movie/7bfe8d47-0095-47ca-abb1-8e94d98aa43f/poster-780.jpg,Comedy,,6.1,,"The Special Duties Unit (SDU) is an elite paramilitary tactical unit of the Hong Kong Police Force and is considered one of the world's finest in its role. But being the best carries its own burdens. Like everyone else, they go through troubles with love, with family and with their jobs. And sometimes they get horny.  This touching story is about Special Duties Unit Team B and their trip to Macau for a weekend of unadulterated debauchery.","{""reelgood"": ""sdu-sex-duties-unit-2013"", ""netflix"": ""81030200""}"
Sea Beast,2008,87.0,16+,,https://img.reelgood.com/content/movie/f61417e1-a8db-4fdf-832a-fbcfb39989b0/poster-780.jpg,"Horror, Science-Fiction, Thriller, Mystery, Action & Adventure",,4.2,,"In the fishing village of Cedar Bay, terror lies within the water. And now it has surfaced in search of something more substantial to devour than marine life: human flesh. A captain and a sea biologist must wage a terrifying battle against the deadly creatures in order to save mankind from total extinction.","{""reelgood"": ""sea-beast-2008"", ""amazon"": ""B07CJ6DVTQ""}"
Seabiscuit: The Lost Documentary,2003,50.0,,,https://img.reelgood.com/content/movie/b8e64976-c219-406f-b82e-9dd2be1a93b3/poster-780.jpg,Documentary,,7.1,,"Made in 1939 by Seabiscuit's owner Charles Howard.  This inspirational film chronicles Seabiscuit's life from birth, through training, and the legendary match race with War Admiral.","{""reelgood"": ""seabiscuit-the-lost-documentary-2003"", ""amazon"": ""B07DLGB3T6""}"
Seamonsters,2011,105.0,,United Kingdom,https://img.reelgood.com/content/movie/b9f4fdfc-6291-47f0-b3e1-434473d6d4c8/poster-780.jpg,Drama,"Friendship, Feel-good",5.7,,Two teenage best friends growing up in a forgotten British seaside town. When a mysterious new girl comes between them the friendship is torn apart and their lives are changed forever.,"{""reelgood"": ""seamonsters-2011"", ""amazon"": ""B06ZZRJFFS""}"
