imdb_id,title,original_title,year,rating,companies,country,language,duration,directors,writers,actors,genres,synopsis,budget,gross_us,gross_worldwide,score,votes
tt2436682,The Duel,,2016,R,"Lionsgate Premiere, Atomic Entertainment (II)",USA,English,110.0,Kieran Darcy-Smith,Matt Cook,"Woody Harrelson, Liam Hemsworth, Alice Braga","Drama, Western",A Texas Ranger investigates a series of unexplained deaths in a town called Helena.,10000000,,20672,5.8,8835
tt0082299,Duel of the Century,Liu Xiao Feng zhi jue zhan qian hou,1981,,Shaw Brothers,Hong Kong,Mandarin,94.0,Yuen Chor,"Yuen Chor , Lung Ku","Fei Ai, Erik Ka-Kei Chan, Kwok-Kuen Chan","Action, Mystery",Liu Yung and Sun Chien (the Korean kicking The Five Venom from Chang Cheh's internationally popular series) team up to investigate the martial-art murders of a supposedly mortally wounded ,,,,6.2,93
tt0196516,The Duke,,1999,G,"Gone Fishing Productions, Keystone Pictures",UK,English,88.0,Philip Spink,"Craig Detweiler , Craig Detweiler","John Neville, James Doohan, Courtnee Draper","Comedy, Drama, Family","When his nephew tries to wrest control of his estate from him,the Duke of Dingwall removes the boy from his will and leaves everything to his dog",,,,4.4,443
tt0030089,The Duke Is Tops,,1938,Approved,Million Dollar Productions,USA,English,73.0,"William L. Nolte , Ralph Cooper","Phil Dunham, Ralph Cooper","Ralph Cooper, Lena Horne, Laurence Criner",Musical,A theatrical producer puts aside his own success to boost the career of a talented singer.,,,,5.5,292
tt2570858,The Duke of Burgundy,,2014,Not Rated,"Rook Films, Pioneer Pictures",UK,English,104.0,Peter Strickland,Peter Strickland,"Sidse Babett Knudsen, Monica Swinn, Chiara D'Anna","Drama, Mystery, Romance",A woman who studies butterflies and moths tests the limits of her relationship with her lesbian lover.,1000000,64521,185147,6.6,10805
tt0988086,The Dungeon Masters,,2008,Not Rated,"Saving Throw Productions, Standard Pictures",USA,English,87.0,Keven McAlester,,"Aaron Beal, Emanuel Brooks","Documentary, Drama","An evil drow-elf is displaced by Hurricane Katrina. A sanitation worker lures friends into a Sphere of Annihilation. A failed supervillain starts a cable access show involving ninjas, ",,,,6.0,547
tt1221132,The Dungeon of Dr. Dreck,,2008,Not Rated,Sideshow Cinema,USA,English,90.0,"Michael Legge, Rebecca Paiva",Michael Legge,"Michael Legge, Lorna Nogueira, Phyllis Weaver",Comedy,"It's the 1960's. Local programming thrives as TV stations create shows for their viewing public. Suddenly the ""horror host"" becomes a nationwide presence on the airwaves as old horror and ",5000,,,5.0,43
tt3854372,The Dust Storm,,2016,PG-13,"Normal, Circa 1888",USA,English,96.0,"Anthony Baldino, Ryan Lacen",Ryan Lacen,"Colin O'Donoghue, Kristen Gutoskie, Chris Carmack","Drama, Musical, Romance","On a business trip to Nashville, Brennan finds himself reunited with the ""Girl"" who had previously broken his heart. Now, for one weekend in the city's music scene, a past and present romance will be reborn and challenged.",,,,5.8,437
tt4836580,The Dwarves of Demrel,,2018,,Plastic Tree Productions,USA,English,90.0,Chris Raney,"Zachary Amundson , Chris Raney","John Hutton, Brent Bateman, Robert Morgan",Fantasy,"In this steampunk, fantasy adventure, a collapse imprisons three dwarven miners who must now work collectively to combat starvation, despair, and a mysterious creature.",,,,3.4,181
tt5217256,The Dying of the Light,,2015,Not Rated,,USA,English,95.0,Peter Flynn,Peter Flynn,"Bernie Anderson, Paul Bader, Jon Berberian",Documentary,A documentary that explores the history and craft of motion-picture presentation through the lives and stories of the last generation of career projectionists.,,6627,6627,7.2,116
tt1738366,The Dynamiter,,2011,PG,"Elysium Bandini Studios, Fairtrade Films",USA,English,73.0,Matthew Gordon,"Matthew Gordon , Brad Ingelsby","William Ruffin, John Alex Nunnery, Patrick Rutherford",Drama,"All fourteen-year-old Robbie Hendrick ever wanted was a family. Yet as another Mississippi summer begins, his wayward mother has run off again fearing a breakdown and he's left to burn the ",250000,,,6.9,546
tt0015772,The Eagle,,1925,Unrated,Art Finance Corporation,USA,English,73.0,Clarence Brown,"Alexander Pushkin , George Marion Jr.","Rudolph Valentino, Vilma Bánky, Louise Dresser","Action, Comedy, Drama","A wanted Russian lieutenant becomes a masked vigilante seeking vengeance upon the man who stole his family's land, only to fall for his charming daughter.",,323150,,6.6,1588
tt0042426,The Eagle and the Hawk,,1950,Not Rated,Pine-Thomas Productions,USA,English,104.0,Lewis R. Foster,"Jess Arnold , Lewis R. Foster","John Payne, Rhonda Fleming, Dennis O'Keefe",Western,1863. Texas Ranger Todd Croyden and Union spy Whitney Randolph cross into Mexico to investigate a growing struggle for power between the French-supported Maximilian and the native-born ,,,,6.0,188
tt0074452,The Eagle Has Landed,,1976,PG,"Associated General Films, ITC Entertainment",UK,English,123.0,John Sturges,"Tom Mankiewicz , Jack Higgins","Michael Caine, Donald Sutherland, Robert Duvall","Adventure, Drama, Thriller",A German plot to kidnap Sir Winston Churchill unfolds at the height of World War II.,6000000,,,6.9,17637
tt0240473,The Edelweiss Pirates,Edelweisspiraten,2004,Not Rated,"Palladio Film, Beauftragter der Bundesregierung für Angelegenheiten der Kultur und der Medien (BKM)",Germany,German,111.0,Niko von Glasow,"Kiki von Glasow , Niko von Glasow","Ivan Stebunov, Bela B., Jochen Nickel","Drama, History, War","Cologne-Ehrenfeld, November 1944. They're young, wild and rebellious, like young people anywhere and in any time. But working-class boys Karl and his younger brother Peter are Edelweiss ",EUR2500000,,,6.2,470
tt0119051,The Edge,,1997,R,Art Linson Productions,USA,English,117.0,Lee Tamahori,David Mamet,"Anthony Hopkins, Alec Baldwin, Elle Macpherson","Action, Adventure, Drama",An intellectual billionaire and two lesser men struggle to band together and survive after getting stranded in the Alaskan wilderness with a blood-thirsty Kodiak Bear hunting them down.,30000000,27873386,43312294,6.9,64661
tt6016744,The Edge of Democracy,,2019,TV-14,Busca Vida Filmes,Brazil,Portuguese,121.0,Petra Costa,"Petra Costa , Carol Pires","Dilma Rousseff, Luiz Inácio Lula da Silva, Marisa Letícia Lula da Silva","Documentary, History",Political documentary and personal memoir collide in this exploration into the complex truth behind the unraveling of two Brazilian presidencies.,,,,7.4,6275
tt1878870,The Edge of Seventeen,,2016,R,"Gracie Films, Huayi Brothers Media",USA,English,104.0,Kelly Fremon Craig,Kelly Fremon Craig,"Hailee Steinfeld, Haley Lu Richardson, Blake Jenner","Comedy, Drama","High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.",9000000,14431633,18803648,7.3,92084
tt4163668,The Eichmann Show,,2015,,"Feelgood Fiction, British Broadcasting Corporation (BBC)",UK,English,90.0,Paul Andrew Williams,Simon Block,"Martin Freeman, Anthony LaPaglia, Rebecca Front","Drama, History","Dramatisation of the team hoping to televise the trial of Adolf Eichmann, an infamous Nazi responsible for the deaths of millions of Jews. It focuses on Leo Hurwitz, a documentary film-maker and Milton Fruchtman, a producer.",,,,6.5,3980
tt5991138,Drôle de père,,2017,,"Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles, Les Films du Fleuve",Belgium,French,86.0,Amélie van Elmbt,"Amélie van Elmbt, Matthieu de Braconier","Isabelle Barth, Thomas Blanchard, Judith Chemla","Drama, Family","Dour ex-boyfriend Antoine (Thomas Blanchard) returns to his Belgian hometown where he reunites with his ex-lover and the mother (Judith Chemla) of their five-year-old girl, Elsa (Lina ",,,5771,6.9,190
tt0023980,The Eleventh Commandment,,1933,,M.H. Hoffman Inc.,USA,English,68.0,George Melford,"Brandon Fleming , Adele Buffington","Marian Marsh, Theodore von Eltz, Alan Hale",Drama,"A wealthy but unmarried woman dies, and since no heirs can be found, her estate will automatically go to her attorney. The attorney's partner, however, would like to get his hands on the ",,,,5.9,23
tt1129420,The Eleventh Hour,,2008,Not Rated,"Matthew Reese Films, Mainstay Productions",USA,English,93.0,John Lyde,"John Lyde, Scott Champion","Matthew Reese, Jennifer Klekas, K. Danor Gerald","Action, Thriller",Action film about a N.Korean general's vendetta against a U.S. team of special ops soldiers who are on a mission to free Japanese political prisoners.,,,,4.5,815
tt0123055,The Elf Who Didn't Believe,,2000,G,"Cabin Fever Entertainment, Green Communications",USA,English,90.0,Rodney McDonald,Karen Kelly,"Sean Donnelly, Margo Harshman, Rich Mann","Comedy, Family","Young elf Elmer wants to become a real boy. He steals Santa's sleigh and escapes to the real world, where he meets a young girl who needs a heart transplant.",,,,3.5,107
tt0243885,The Elite,,2001,R,"American Cinema International, Media Pro Pictures",USA,English,99.0,Terry Cunningham,"Terry Cunningham , Terry Cunningham","Jürgen Prochnow, Maxine Bahns, Robin Givens","Action, Crime, Thriller","After the murder of their families by a terrorist bomb, five young adults are trained as a hi-tech, anti-terrorist team with a mission to search and destroy high-profile terrorist groups.",,,,3.7,470
tt0083072,Shu jian en chou lu,,1981,,Shaw Brothers,Hong Kong,Mandarin,101.0,Yuen Chor,"Louis Cha , Kuang Ni","Lung Ti, Jung Wang, Feng Kuan",Action,It's Ti Lung versus Lo Lieh in the period piece action movie The Emperor And His Brother that features some marvellous sets and rudimentary special effects that delightfully gives Ti Lung's,,,,6.3,84
tt0023985,The Emperor Jones,,1933,Not Rated,John Krimsky and Gifford Cochran Inc.,USA,English,72.0,"Dudley Murphy, William C. de Mille","Eugene O'Neill , DuBose Heyward","Paul Robeson, Dudley Digges, Frank H. Wilson","Drama, Music",Unscrupulously ambitious Brutus Jones escapes from jail after killing a guard and through bluff and bravado finds himself the emperor of a Caribbean island.,250000,,,6.5,778
tt0082323,Odyssey of the Pacific,The Emperor of Peru,1982,Not Rated,"Babylone Films, Ciné Pacific",France,English,81.0,Fernando Arrabal,"Fernando Arrabal, Roger Lemelin","Mickey Rooney, Anick, Jonathan Starr",Adventure,"In this inspiring fantasy film, three children befriend a young Cambodian boy who dreams of returning home. When the children meet an eccentric railroad engineer (Mickey Rooney) with an ",CAD3500000,,,5.4,109
tt4323536,The Emperor's New Clothes,,2015,Unrated,Revolution Films,USA,English,101.0,Michael Winterbottom,"Russell Brand , Michael Winterbottom","Russell Brand, Geraint Anderson, Brigitte Bardot",Documentary,A look at the growing disparity between different economic classes.,,,54900,7.1,1257
tt0495103,The Empire in Africa,,2006,Not Rated,"Action Against Hunger, Cinema Libre Studio",France,English,87.0,Philippe Diaz,,"Ahmad Tejan Kabbah, Foday Sankoh, Mike Lamin",Documentary,The story of the war the international community waged against civil war stricken Sierra Leone.,,1088,1088,7.0,97
tt4641232,Le nez,,2014,,Lowik Media,Canada,French,84.0,Kim Nguyen,Kim Nguyen,,"Documentary, Action","A kaleidoscopic exploration of what our sense of smell has to do with memory, emotion, and sex.",,,,7.0,115
tt1863203,The Employer,,2013,TV-MA,"Hyrax Entertainment, Crafted Films",USA,English,90.0,Frank Merle,Frank Merle,"Malcolm McDowell, David Dastmalchian, Paige Howard",Thriller,"Five highly qualified applicants interview for a coveted job. On the night before the last round of interviews, they are all kidnapped and drugged. The next day, they wake up trapped together in a locked room without any hope of escape.",,,,4.4,1165
tt0770745,The Empty Acre,,2007,Not Rated,"Invidious Productions, SenoReality Pictures",USA,English,103.0,Patrick Rea,Patrick Rea,"Jennifer Plas, John Wilson, Robert Paisley",Horror,"Set in rural, Kansas, ""The Empty Acre"" is a dramatic horror film about an unseen force that feeds on a small farming community. The invisible entity reaches out from a lifeless acre of land",,,,4.3,193
