imdb_id,title,original_title,year,rating,companies,country,language,duration,directors,writers,actors,genres,synopsis,budget,gross_us,gross_worldwide,score,votes
tt1333631,Art & Copy,,2009,TV-PG,"Art&Industry, Granite Pass",USA,English,89,Doug Pray,"Gregory Beauchamp , Kirk Souder","Mary Wells, Dan Wieden, Hal Riney",Documentary,"ART & COPY is a powerful new film about advertising and inspiration. Directed by Doug Pray (SURFWISE, SCRATCH, HYPE!), it reveals the work and wisdom of some of the most influential ",,,,6.8,1689
tt4152950,Arteholic,,2014,Not Rated,"Cine Plus Filmproduktion, Hermann Vaske's Emotional Network",Germany,German,86,Hermann Vaske,Hermann Vaske,"Udo Kier, Nicolette Krebitz, Brigitte Messe",Documentary,"A road trip through famous museums in Frankfurt, Cologne, Paris, Copenhagen and Berlin.",,,,7.1,30
tt1334512,Arthur,,2011,PG-13,"Warner Bros., Morra, Brezner, Steinberg and Tenenbaum Entertainment (MBST)",USA,English,110,Jason Winer,"Peter Baynham , Steve Gordon","Russell Brand, Helen Mirren, Jennifer Garner","Comedy, Romance",A drunken playboy stands to lose a wealthy inheritance when he falls for a woman his family doesn't like.,40000000,33035397.0,45735397,5.7,49499
tt9341104,Arthur and the Haunted Tree House,,2017,G,WGBH Educational Foundation,USA,English,57,Marc Brown,Marc Brown,"Justin Bradley, Oliver Grainger",Animation,"While trick-or-treating, Francine meets an elderly woman with a very mysterious past; Binky finds himself at Mr. Ratburn's amazing haunted house; and Arthur, Buster and Ladonna fear the tree house may be haunted.",,,,6.7,6
tt4065340,Arthur & Merlin,,2015,Not Rated,Movieworks,UK,English,100,Marco van Belle,"Marco van Belle , Kat Wood","Kirk Barker, Stefan Butler, Nigel Cooke",Fantasy,A young Celtic warrior and a hermit wizard must unite to defeat an evil druid.,3000000,,,4.3,1191
tt1930546,Arthur Newman,,2012,R,"Vertebra Films, Cross Creek Pictures",USA,English,101,Dante Ariola,Becky Johnston,"Colin Firth, Emily Blunt, Anne Heche",Drama,"A story of a man who fakes his own death and assumes a new identity in order to escape his life, who then moves in with a woman who is also trying to leave her past behind.",,207853.0,747140,5.7,6701
tt0356371,Arthur's Missing Pal,,2006,G,"RichCrest Animation, WGBH",USA,Spanish,68,Yvette Kaplan,Ken Scarborough,"Carr Thompson, Daniel Brochu, Luciano Rauso","Animation, Adventure, Comedy","The movie centers on when Arthur neglects Pal for one day and during that day, Pal manages to get out of the house and sets off on an adventure eating whatever comes his way, and exploring ",,,,4.4,149
tt10324144,Article 15,,2019,Not Rated,"Benaras Mediaworks, Zee Studios",India,Hindi,130,Anubhav Sinha,"Anubhav Sinha, Gaurav Solanki","Ayushmann Khurrana, Nassar, Manoj Pahwa","Crime, Drama","In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.",,,734514,8.3,13924
tt2304485,Art Is... The Permanent Revolution,,2012,Not Rated,,USA,English,82,Manfred Kirchheimer,,"Sigmund Abeles, Ann Chernow, Paul Marcus",Documentary,In Art Is...The Permanent Revolution three contemporary artists and a master printer explore how social reality and protest are conveyed in art. While the stirring works of the masters ,,4291.0,4291,6.3,17
tt1753449,Art Machine,,2012,Not Rated,"Art Machine Productions, Pie Face Pictures",USA,English,89,Doug Karr,"Nuno Viera Faustino, Doug Karr","Joseph Cross, Jessica Szohr, Joey Lauren Adams",Comedy,"On the verge of a coming of age showcase, a failing child prodigy painter desperately seeks inspiration; his world explodes through an incendiary meeting with a pyrotechnic artist, but in ",,,,6.1,107
tt3715414,Art of Darkness,,2014,,,Canada,,85,David B. Parker,David B. Parker,,"Documentary, Biography",Art of Darkness is a feature documentary intimately profiling controversial painter and performance artist Bryan Lewis Saunders. Bryan is renowned for his commitment to producing a self ,,,,8.4,17
