title,year,duration,rating,country,poster,genres,tags,imdb_score,rt_score,synopsis,services
"Life, Animated",2016,91.0,7+ (PG),,https://img.reelgood.com/content/movie/27aeb3d4-8781-4370-8e64-4ea8aa8ccef5/poster-780.jpg,"Documentary, Animation, Family, Comedy, Drama, Fantasy, Romance",,7.5,94%,"At three years old, a chatty, energetic little boy named Owen Suskind ceased to speak, disappearing into autism with apparently no way out. Almost four years passed and the only stimuli that engaged Owen were Disney films. Then one day, his father donned a puppet—Iago, the wisecracking parrot from Aladdin—and asked “what’s it like to be you?” And poof! Owen replied, with dialogue from the movie. Life, Animated tells the remarkable story of how Owen found in Disney animation a pathway to language and a framework for making sense of the world.","{""reelgood"": ""life-animated-2016"", ""amazon"": ""B01HSSZSEE""}"
Lifechanger,2018,84.0,,Canada,https://img.reelgood.com/content/movie/f2368fc6-84c9-4a1a-82b5-6062eced81ca/poster-780.jpg,"Horror, Thriller","Monster, Supernatural",5.3,86%,A murderous shapeshifter sets out on a blood-soaked mission to make things right with the woman he loves.,"{""reelgood"": ""lifechanger-2018"", ""netflix"": ""81087094""}"
Life Express,2010,90.0,,,https://img.reelgood.com/content/movie/295c0cd0-4b94-4789-9741-653ee5ef77fb/poster-780.jpg,Drama,,4.8,,"It's a story about an urbanized couple Tanvi and Nikhil whose life's pace revolves around their respective careers so much so, that they have no time to spend with each other or start a family. The film deals with motherhood, love, aspirations and priorities individuals make in their lives, touching upon major societal issues, solutions and trading of human emotions for personal benefits.","{""reelgood"": ""life-express-2010""}"
Life Fine Tuned,2012,120.0,,,https://img.reelgood.com/content/movie/e9a39cf5-5cdc-4cd4-94be-efc118fa8d37/poster-780.jpg,"Drama, Family",,6.2,,"The journey shows us what sound a spoiled young rock star makes when she is out of tune with life and how far her understudy will go to replace her. Star is the center of her universe when she discovers how small it really is. Paths cross between those climbing up the ladder, those falling off, and those putting the ladder away. This fresh, contemporary film offers the sounds of classical, rock, and bluegrass colliding as lives intersect, resulting in a new sound, a new life, a new beginning. In the end, Star discovers that the art to fine tuning her life is much like tuning a violin so she is in harmony with those around her, as she finds the family she never had.","{""reelgood"": ""life-fine-tuned-2012"", ""amazon"": ""B00RKGC1TU""}"
Life in a Metro,2007,124.0,,,https://img.reelgood.com/content/movie/245d0208-d1d0-4d16-8727-8526e6caab5c/poster-780.jpg,"Comedy, Drama, Romance",,7.4,,"Six different stories, about nine people, each with different issues and problems, all occurring within one place: the METRO.","{""reelgood"": ""life-in-a-metro-2007"", ""netflix"": ""70071832""}"
Life in Danger,1959,63.0,,United Kingdom,https://img.reelgood.com/content/movie/033202a6-0b12-4d97-9fe1-e1a1717427f2/poster-780.jpg,"Crime, Drama",Escape,6.4,,Panic and fear overtake a small British farming community after a homicidal child-killer escapes from a local mental hospital.,"{""reelgood"": ""life-in-danger-1959"", ""amazon"": ""B07KWFJQ6F""}"
Life Inside Out,2014,102.0,,America,https://img.reelgood.com/content/movie/d9f9b836-6454-43d8-9600-00726a87525a/poster-780.jpg,"Drama, Musical","Female Director, Music, Teen",6.4,63%,"When a mother returns to her musical roots, she rediscovers the passion of her youth, and finds a way to connect with her troubled youngest son.","{""reelgood"": ""life-inside-out-2014"", ""amazon"": ""B075JLW4L8""}"
Life in the Blue,2016,48.0,,,https://img.reelgood.com/content/movie/6309424c-5700-4a12-971a-4b77a68b4f97/poster-780.jpg,Documentary,Animal,7.6,,"This films reveals the extraordinary variety of life found in the vast blue expanses of the open ocean. Here, all the action takes place in a 10 metre deep band of water, just under the surface. Many species use this section of water to migrate and hunt while others use ingenious ways to stay hidden where there appears to be no shelter.","{""reelgood"": ""life-in-the-blue-2016"", ""netflix"": ""80156926""}"
Life in the Doghouse,2018,84.0,,America,https://img.reelgood.com/content/movie/59556c38-721f-4456-9f28-a7ade5d6786e/poster-780.jpg,Documentary,"Dog, Animal",8.4,,"Life in the Doghouse tells the inspiring story behind Danny & Ron’s Rescue, a dog rescue centre. Started by life partners Ron Danta and Danny Robertshaw, the two men were moved to act after Hurricane Katrina left thousands of dogs stranded and abandoned. The two men set up a makeshift dog sanctuary in their home and ten years later they have housed and rescued over 10,000 of these furry babies.","{""reelgood"": ""life-in-the-doghouse-2018"", ""netflix"": ""81077795""}"
Life in the Hole,2017,75.0,,,https://img.reelgood.com/content/movie/5b8f07e4-71f8-4bfb-9879-957a3e49b3b1/poster-780.jpg,Thriller,,6.4,,"In a warehouse in the middle of nowhere, two rival prostitutes held against their will join forces to help a 9 year-old girl escape her future as a child sex slave.","{""reelgood"": ""life-in-the-hole-2017"", ""amazon"": ""B076QSJMT9""}"
